15:29:59,971	0.000000	22712.13
15:29:59,972	0.000000	22712.13
15:29:59,974	0.010303	22714.47
15:29:59,975	-0.010302	22712.13
15:29:59,977	0.000000	22712.13
15:29:59,978	0.006869	22713.69
15:29:59,978	-0.006868	22712.13
15:29:59,980	0.006869	22713.69
15:29:59,980	0.000000	22713.69
15:29:59,981	-0.014881	22710.31
15:29:59,981	0.014883	22713.69
15:29:59,982	0.000000	22713.69
15:29:59,983	-0.014881	22710.31
15:29:59,984	0.014883	22713.69
15:29:59,984	-0.014881	22710.31
15:29:59,993	0.014883	22713.69
15:30:00,0006	0.000000	22713.69
15:30:00,010	0.000000	22713.69
15:30:00,010	0.002289	22714.21
15:30:00,010	0.000000	22714.21
15:30:00,011	-0.009113	22712.14
15:30:00,011	-0.008013	22710.32
15:30:00,011	-0.001761	22709.92
15:30:00,011	-0.000528	22709.8
15:30:00,011	0.000000	22709.8
15:30:00,011	0.000000	22709.8
15:30:00,011	-0.000044	22709.79
15:30:00,011	0.000000	22709.79
15:30:00,011	-0.002994	22709.11
15:30:00,011	-0.003611	22708.29
15:30:00,011	-0.003039	22707.6
15:30:00,011	0.000000	22707.6
15:30:00,011	0.000000	22707.6
15:30:00,011	-0.001409	22707.28
15:30:00,011	-0.000044	22707.27
15:30:00,011	-0.000925	22707.06
15:30:00,011	-0.000044	22707.05
15:30:00,011	0.000000	22707.05
15:30:00,011	-0.000044	22707.04
15:30:00,011	-0.000793	22706.86
15:30:00,011	-0.001277	22706.57
15:30:00,011	-0.000396	22706.48
15:30:00,011	-0.000440	22706.38
15:30:00,011	-0.000749	22706.21
15:30:00,011	-0.000528	22706.09
15:30:00,011	-0.000573	22705.96
15:30:00,011	0.000000	22705.96
15:30:00,011	0.000000	22705.96
15:30:00,011	-0.000044	22705.95
15:30:00,011	0.017000	22709.81
15:30:00,011	0.000000	22709.81
15:30:00,013	0.000000	22709.81
15:30:00,015	0.019375	22714.21
15:30:00,015	-0.019371	22709.81
15:30:00,016	0.000000	22709.81
15:30:00,017	0.019375	22714.21
15:30:00,017	0.000000	22714.21
15:30:00,018	-0.019371	22709.81
15:30:00,018	0.019375	22714.21
15:30:00,018	0.001145	22714.47
15:30:00,018	0.000088	22714.49
15:30:00,022	-0.020207	22709.9
15:30:00,022	-0.000396	22709.81
15:30:00,022	-0.000044	22709.8
15:30:00,026	0.020520	22714.46
15:30:00,047	-0.020472	22709.81
15:30:00,047	0.014047	22713
15:30:00,059	-0.024391	22707.46
15:30:00,068	0.010833	22709.92
15:30:00,068	-0.000528	22709.8
15:30:00,078	0.000000	22709.8
15:30:00,079	0.000044	22709.81
15:30:00,094	0.000000	22709.81
15:30:00,104	-0.000044	22709.8
15:30:00,128	0.000044	22709.81
15:30:00,138	0.009159	22711.89
15:30:00,138	0.000660	22712.04
15:30:00,138	-0.009863	22709.8
15:30:00,152	-0.000088	22709.78
15:30:00,175	-0.000881	22709.58
15:30:00,175	-0.000220	22709.53
15:30:00,175	-0.002774	22708.9
15:30:00,175	-0.002642	22708.3
15:30:00,175	-0.003655	22707.47
15:30:00,175	-0.000044	22707.46
15:30:00,175	-0.004228	22706.5
15:30:00,175	-0.000352	22706.42
15:30:00,175	0.000000	22706.42
15:30:00,175	0.000000	22706.42
15:30:00,175	-0.000132	22706.39
15:30:00,175	-0.001894	22705.96
15:30:00,175	0.000000	22705.96
15:30:00,175	-0.000044	22705.95
15:30:00,175	-0.001453	22705.62
15:30:00,175	-0.000529	22705.5
15:30:00,175	-0.000705	22705.34
15:30:00,175	-0.003700	22704.5
15:30:00,175	-0.000617	22704.36
15:30:00,175	-0.001365	22704.05
15:30:00,175	-0.000220	22704
15:30:00,175	-0.001057	22703.76
15:30:00,175	-0.000925	22703.55
15:30:00,175	-0.000573	22703.42
15:30:00,175	0.000000	22703.42
15:30:00,175	-0.001674	22703.04
15:30:00,175	-0.000176	22703
15:30:00,175	-0.000573	22702.87
15:30:00,175	-0.000881	22702.67
15:30:00,175	-0.001189	22702.4
15:30:00,175	0.000000	22702.4
15:30:00,175	-0.000044	22702.39
15:30:00,175	-0.000705	22702.23
15:30:00,175	-0.000793	22702.05
15:30:00,175	-0.000088	22702.03
15:30:00,175	-0.000044	22702.02
15:30:00,175	-0.000088	22702
15:30:00,175	-0.000044	22701.99
15:30:00,175	-0.000132	22701.96
15:30:00,175	-0.000396	22701.87
15:30:00,175	-0.001233	22701.59
15:30:00,175	-0.000176	22701.55
15:30:00,175	-0.001057	22701.31
15:30:00,175	-0.000705	22701.15
15:30:00,175	-0.002026	22700.69
15:30:00,175	-0.000573	22700.56
15:30:00,175	-0.000264	22700.5
15:30:00,175	-0.000044	22700.49
15:30:00,175	0.000000	22700.49
15:30:00,175	0.000000	22700.49
15:30:00,175	-0.000485	22700.38
15:30:00,175	-0.001101	22700.13
15:30:00,175	0.000000	22700.13
15:30:00,175	-0.000088	22700.11
15:30:00,175	-0.000264	22700.05
15:30:00,175	-0.000088	22700.03
15:30:00,175	-0.000044	22700.02
15:30:00,175	-0.000044	22700.01
15:30:00,199	0.050176	22711.4
15:30:00,235	-0.021531	22706.51
15:30:00,246	-0.000661	22706.36
15:30:00,250	0.017528	22710.34
15:30:00,250	0.000000	22710.34
15:30:00,250	0.004712	22711.41
15:30:00,250	0.000749	22711.58
15:30:00,250	0.000044	22711.59
15:30:00,250	0.000000	22711.59
15:30:00,250	0.000088	22711.61
15:30:00,250	0.000044	22711.62
15:30:00,250	0.000528	22711.74
15:30:00,250	0.000925	22711.95
15:30:00,250	0.000396	22712.04
15:30:00,250	0.000044	22712.05
15:30:00,250	0.000000	22712.05
15:30:00,250	0.000132	22712.08
15:30:00,250	0.003566	22712.89
15:30:00,250	0.002686	22713.5
15:30:00,250	0.000044	22713.51
15:30:00,250	0.000044	22713.52
15:30:00,250	0.000660	22713.67
15:30:00,250	0.000925	22713.88
15:30:00,250	0.000572	22714.01
15:30:00,250	0.000044	22714.02
15:30:00,250	0.000044	22714.03
15:30:00,250	0.000572	22714.16
15:30:00,250	0.001409	22714.48
15:30:00,250	0.000044	22714.49
15:30:00,250	0.000088	22714.51
15:30:00,250	0.000396	22714.6
15:30:00,250	0.000000	22714.6
15:30:00,250	0.000132	22714.63
15:30:00,250	0.001453	22714.96
15:30:00,250	0.000000	22714.96
15:30:00,250	0.000660	22715.11
15:30:00,250	0.001629	22715.48
15:30:00,250	0.000044	22715.49
15:30:00,250	0.001057	22715.73
15:30:00,250	0.002905	22716.39
